Ground Truth,Google OCR,ED Google OCR,MP,ED MP,LM Low,ED LM Low,LM Medium,ED LM Medium,LM High,ED LM High
"# write a python program to find the longest word in a given text
def main():
sentence = input(""input a sentence: "")
list = sentence.split()
l_word = """"
for word in list:
if len(word)>len(l_word):
l_word = word
print(l_word)
if __name__ == ""__main__"":
main()","# write a python program to find the longest word in a given text
def maint):
sentence = imput (""input a sentence: "")
list = sentence.split()
lword =
for world im list:
if len (word) >len (1-word):
1_ word = word
primt (1- word)
if_name_ == ""_mam_"":
main ()",29,"\# write a python program to find the longest word a \( m \) a given text def main \( ( \) ):
sentence = imput (""input a sentence: "")
list = sentence.split ()
lword = "" ""
for word im list:
if len (word) >len (1-word):
\[
ext { 1_word }= ext { word }
\]
primt (1-word)
if name_ \( == \) ""-main_"".
\( \operatorname{main}() \)",89,"# write a python program to find the longest word in a given text
def main():
sentence = input(""input a sentence: "")
list = sentence.split()
lword = "" ""
for word in list:
if len(word) > len(lword):
lword = word
print(lword)
if __name__ == ""__main__"":
main()",7,"# write a python program to find the longest word in a given text
def main():
sentence = input(""input a sentence: "")
list = sentence.split()
l_word = """"
for word in list:
if len(word) > len(l_word):
l_word = word
print(l_word)
if __name__ == ""__main__"":
main()",2,"# write a python program to find the longest word in a given text
def main():
sentence = input(""input a sentence: "")
words = sentence.split()
lword = """"
for word in words:
if len(word) > len(lword):
lword = word
print(lword)
if __name__ == ""__main__"":
main()",16
"def greatest_common_divisor(a,b):
smaller_number = a if a < b else b
common_divisor = []
for i in range(1, smaller_number + 1):
if a % i == 0 and b % i == 0:
common_divisor.append(i)
return common_divisor[-1]","def greatest common_divisor(a,b):
smaller_number=a if azb else b
common_divisor= []
for i in range (1, smaller_number +1):
if a %i == 0 and b% i ==0:
common_divisor.append()
return common_divisor [-1]",14,"def greatest_common_divisor \( (a, b) \) :
smaller_number \( =a \) if \( a<b \) else \( b \) common_divisor \( =[] \)
for \( i \) in range \( (1 \), smaller number +1\( ) \) : if \( a \% i==0 \) and \( b \% i==0 \) : common_divisor. a ppend (i) return common_divisor \( [-1] \)",85,"def greatest_common_divisor(a, b):
smaller_number = a if a<b else b
common_divisor = []
for i in range(1, smaller_number+1):
if a % i == 0 and b % i == 0:
common_divisor.append(i)
return common_divisor[-1]",5,"def greatest_common_divisor(a, b):
smaller_number = a if a < b else b
common_divisors = []
for i in range(1, smaller_number + 1):
if a % i == 0 and b % i == 0:
common_divisors.append(i)
return common_divisors[-1]",4,"def greatest_common_divisor(a, b):
smaller_number = a if a < b else b
common_divisor = []
for i in range(1, smaller_number+1):
if a % i == 0 and b % i == 0:
common_divisor.append(i)
return common_divisor[-1]",3
"def main():
""""""
the program should determine whether the given year is a leap year
(divisible by 4, divisible by 100 but also by 400).
""""""
print(""this program will help you identify if a given year is a leap year or not."")
print("" "")
identify_a_leap_year()
ask_for_a_new_year_to_identify()
def identify_a_leap_year():
print(""please input a year below(in number form)."")
year = int(input(""year : ""))
print("" "")
if (year % 4 == 0) or (year % 100 == 0) or (year % 400 == 0):
print(""the year "" + str(year) + "" "" + ""is a leap year."")
else:
print(""the year "" + str(year) + "" "" + ""is not a leap year."")
def ask_for_a_new_year_to_identify():
while true:
print("" "")
ask = input(""do you want to identify a new year? yes/no: "")
print("" "")
if ask == ""yes"" or ask == ""yes"":
identify_a_leap_year()
elif ask == ""no"" or ask == ""no"":
print(""thank you. see you again!"")
break
elif ask != ""yes"" or ask != ""yes"" or ask != ""no"" or ask != ""no"":
print(""wrong keyword. please type the exact keyword."")
if __name__ == ""__main__"":
main()","def main ():
the
should determine whether the given year is a leap year
(divisible by 4, divisible by loo but also by 400).
program
print (""this program will help you identify if a given year is a leap
or not."")
year
if
print ("" "")
()
identify_a_leap_year
ask_for_a_new_year_to_ identify ()
def identify_a_leap-year ():
print (""please input
year = int (imput ("" year: ""))
print("" "")
else :
it (year % 4 = = 0) or (year %/ 100 ==0) or (year % 400 ==0);
+ str (year) +
+ "" is a leap year."")
v
print (""the year
""+"" is not a leap year."")
print (""the year
def ask_for_a_new_year_to_
white true:
-_name__
main ()
a year below (ill humber
if ask = =
+ str (year).
-+
identify ():
print (')
ask - input (""do you want to identify
print ("" "")
""__main__
form). "")
""yes"" or ask
ask = = ""yes"" :
identify_a_ leap year ()
""
elif ask = = ""no"" or ask == ""no
a new year? yes/no: "")
print (""thank you. see you again!"")
break
elif ask != ""yes
or ask != ""yes"" of ark! = ""no"" or ask != ""no"":
print (""wrong keyword. please type the exact keyword."")",364,"def \( \operatorname{main}() \) :
""the program should determine whether the given year is a leap year (divisible by 4, divisible by 100 but also by 400).
"" r""
print (""this program will help you identify if a given year is a leap year or not."")
privit ("" "")
identify - a - leap_year ()
ask_for_a new_year_to_identify ()
def identify - a l eap - year () :
print (""please input a year below (in number form)."")
year = int (input (""year: ""))
print ("" "")
if \( ( \) year \( \% 4=0) \) ) or \( ( \) year \( \% 100=0) \) ) or \( ( \) year \( \% 400=0) \) :
print (""the year "" \( +\operatorname{str}( \) year) + "" "" ""is a leap year."")
else:
\[
ext { print (""the year ""+str (year) }+ ext { "" "" "" is not a leap year."") }
\]
def ask_-fir_a_new - year_to_identify ():
white true:
print (' 1 )
ask = input (""do you want to identify a new year? yes/no:"") print ("" "")
if ask = = ""yes "" or ask = = ""yes"":
identify - a - leap- year ()
elif ask \( == \) ""no"" or ask \( == \) ""no"" :
print (""thank you. see you again!"")
break
elif ask ! = ""yes or ask ! = ""yes"" a ask! = ""no"" or ask ! = ""no"":
print (""wrong keyword. please type the exact keyword."")
if .. name \( \ldots=="" \) main \( _{2}{ }^{\prime} \) :
main ()",247,"def main():
""""""
the program should determine whether the given year is a leap year
(divisible by 4, divisible by 100 but also by 400).
""""""
print(""this program will help you identify if a given year is a leap year or not."")
print("" "")
identify_a_leap_year()
ask_for_a_new_year_to_identify()
def identify_a_leap_year():
print(""please input a year below (in number form)."")
year = int(input(""year: ""))
print("" "")
if (year % 4 == 0) and ((year % 100 != 0) or (year % 400 == 0)):
print(""the year "" + str(year) + "" is a leap year."")
else:
print(""the year ""+ str(year) + "" is not a leap year."")
def ask_for_a_new_year_to_identify():
while true:
print(' ')
ask = input(""do you want to identify a new year? yes/no:"")
print("" "")
if ask == ""yes"" or ask == ""yes"":
identify_a_leap_year()
elif ask == ""no"" or ask == ""no"" :
print(""thank you. see you again!"")
break
elif ask != ""yes"" and ask != ""yes"" and ask != ""no"" and ask != ""no"":
print(""wrong keyword. please type the exact keyword."")
if __name__==""__main__"":
main()",34,"def main():
""""""the program should determine whether the given year is a leap year
(divisible by 4, divisible by 100 but also by 400).
""""""
print(""this program will help you identify if a given year is a leap year or not."")
print("" "")
identify_a_leap_year()
ask_for_a_new_year_to_identify()
def identify_a_leap_year():
print(""please input a year below (in number form)."")
year = int(input(""year: ""))
print("" "")
if (year % 4 == 0) or (year % 100 == 0) or (year % 400 == 0):
print(""the year "" + str(year) + "" is a leap year."")
else:
print(""the year "" + str(year) + "" is not a leap year."")
def ask_for_a_new_year_to_identify():
while true:
ask = input(""do you want to identify a new year? yes/no:"")
print("" "")
if ask == ""yes"" or ask == ""yes"":
identify_a_leap_year()
elif ask == ""no"" or ask == ""no"":
print(""thank you. see you again!"")
break
elif ask != ""yes"" and ask != ""yes"" and ask != ""no"" and ask != ""no"":
print(""wrong keyword. please type the exact keyword."")
if __name__ == ""__main__"":
main()",34,"def main():
""the program should determine whether the given year is a leap year (divisible by 4, divisible by 100 but also by 400).""
print(""this program will help you identify if a given year is a leap year or not."")
print("" "")
identify_a_leap_year()
ask_for_a_new_year_to_identify()
def identify_a_leap_year():
print(""please input a year below (in number form)."")
year = int(input(""year: ""))
print("" "")
if year % 4 == 0 and (year % 100 != 0 or year % 400 == 0):
print(""the year "" + str(year) + "" is a leap year."")
else:
print(""the year ""+str(year) + "" is not a leap year."")
def ask_for_a_new_year_to_identify():
while true:
print(' ')
ask = input(""do you want to identify a new year? yes/no:"")
print("" "")
if ask == ""yes"" or ask == ""yes"":
identify_a_leap_year()
elif ask == ""no"" or ask == ""no"":
print(""thank you. see you again!"")
break
else:
print(""wrong keyword. please type the exact keyword."")
if __name__ == ""__main__"":
main()",91
"sum = 0
number = input()
for i in number:
sum += int(i)
print(sum)","sun =
s
number
imput ()
for i in number:
sun + =
int(i)
print (surm)
n",15,"\[
\operatorname{sun}=arnothing
\]
number = imput ()
for: in number:
\[
ext { sun }+=\operatorname{int}(i)
\]
print (sum)",65,"sun = 0
number = input()
for i in number:
sun += int(i)
print(sun)",3,"sum = 0
number = input()
for i in number:
sum += int(i)
print(sum)",0,"numbers = input()
sun = 0
for i in numbers:
sun += int(i)
print(sun)",20
"def factorial(n):
if n <= 1:
return 1
else:
return factorial(n-1) * n
print(factorial(int(input())))","def factoria 1 (n):
if n <= 1 :
return 1
else:
return factorial (n-1) *
prist (fractional (int (amput())))
h",19,"def factorial (n):
if \( n<1 \) :
retunn 1
else:
return factorial \( (n-1) * n \)
print \( ( \) factarial \( (\operatorname{int}(\operatorname{imput}()))) \)",63,"def factorial(n):
if (n < 1):
return 1
else:
return factorial((n-1) * n)
print(factorial(int(input())))",5,"def factorial(n):
if (n < 1):
return 1
else:
return factorial(n-1) * n
print(factorial(int(input())))",3,"def factorial(n):
if n < 1:
return 1
else:
return n * factorial(n - 1)
print(factorial(int(input())))",11
"year = int(input)
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
print(true)
else:
print(false)","year = int (impot
if yeur 1/4 = = $ and year 1/144 != 0 on year 1.400 ==&=
print (true)
else:
print (false)",21,"\[
ext { year }=\operatorname{int}( ext { impot })
\]
if yearn \( \% \mu==\phi \) and year \( \% 1 \phi \phi !=arnothing \) on year \( \% 400==\phi \) :
pine (true)
else:
print (false)",95,"year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
print(true)
else:
print(false)",2,"year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
print(true)
else:
print(false)",2,"year = int(input())
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0 :
print(true)
else:
print(false)",3
"word = input()
word = "" "".join([i for i in word[::-1]])
print(word)","word = imput()
word = """", join (i i for i in word [::
print (word)",14,"\( egin{array}{l} ext { wond }=\operatorname{imput}() \ ext { wand }="" ext { ""join }([i ext { for } i ext { in word }[ecause-1]]) \ ext { print (wond) } \\end{array} \)",114,"word = input()
wand = """".join([i for i in word[:-1]])
print(wand)",6,"word = input()
wond = """".join([i for i in word[:-1]])
print(wond)",4,"word = input()
wand = """".join([i for i in word[:-1]])
print(wand)",6
"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)","list 1 = [1, 2, 3, 4]
bist 2 = [3, 4, 5, 6]
in lista]
bist 3 = [i for i in list 1 if i in
print (list 3)",24,"\( egin{array}{l} ext { list } 1=[1,2,3,4] \ ext { bist } 2=[3,4,5,6] \ ext { fist } 3=[i ext { for } i ext { in list } 1 ext { if } i ext { in list }] \ \operatorname{pint}(\operatorname{list} 3)\end{array} \)",142,"list1 = [1,2,3,4]
list2 = [3,4,5,6]
list3 = [i for i in list1 if i in list2]
print(list3)",6,"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)",0,"list1=[1,2,3,4]
list2=[3,4,5,6]
list3=[i for i in list1 if i in list2]
print(list3)",12
"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)","list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [ e for i in lists if */2==4]
print (even)",11,"\( egin{array}{l} ext { list } 1=[1,2,3,4,5,6,7,8,9] \ ext { even }=[i ext { for } i ext { in list } 1 ext { if } i \% 2==] \ ext { print (even) }\end{array} \)",100,"list1 = [1,2,3,4,5,6,7,8,9]
even = [i for i in list1 if i % 2 ==0]
print(even)",9,"list1=[1,2,3,4,5,6,7,8,9]
even=[i for i in list1 if i % 2 == 0]
print(even)",12,"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)",0
"def main():
year = int(input())
if (year % 4 == 0 and year % 100 != 0):
print(""true"")
elif (year % 100 == 0 and year % 400 == 0):
print(""true"")
else:
print(""false"")
if __name__ == ""__main__"":
main()","def main ():
year
= int (input())
if (year % 4 == 0 and year % 100 != 0):
print (""true"")
elif (year % 100 == 0 and year % 400 ==0):
print (""true"")
if
else:
print (""false"")
name__
main ()
!!
>>
_main__'",34,"def main ():
\[
ext { year }=\operatorname{int}(\operatorname{input}())
\]
if (year \% \( 4==0 \) and year \( \% 100 !=0 \) ):
print (""true"")
elif (year \( \% 100==0 \) and year \( \% 400==0 \) ):
print (""true"")
else:
print (""false"")
if __name__ = = ""_main_."":
\( \operatorname{main}() \)",103,"def main():
year = int(input())
if (year % 4 == 0) and (year % 100 != 0):
print(""true"")
elif (year % 100 == 0) and (year % 400 == 0):
print(""true"")
else:
print(""false"")
if __name__ == ""__main__"":
main()",4,"def main():
year = int(input())
if (year % 4 == 0 and year % 100 != 0):
print(""true"")
elif (year % 100 == 0 and year % 400 == 0):
print(""true"")
else:
print(""false"")
if __name__ == ""__main__"":
main()",0,"def main():
year = int(input())
if (year % 4 == 0) and (year % 100 != 0):
print(""true"")
elif (year % 100 == 0) and (year % 400 == 0):
print(""true"")
else:
print(""false"")
if __name__ == ""__main__"":
main()",4
"from karel.stanfordkarel import *
def main():
build_column()
step_up()
build_column()
step_up()
build_column()
step_up()
build_column()
def build_column():
turn_left()
build_beeper()
build_beeper()
build_beeper()
build_beeper()
put_beeper()
go_back()
turn_left()
def build_beeper():
put_beeper()
move()
def go_back():
turn_around()
step_up()
def turn_around():
turn_left()
turn_left()
def step_up():
move()
move()
move()
move()
if __name__ == '__main__':
main()","from
def
def
karel. stanford kavel import
main ():
build_column ()
step- up ()
build column()
step-up ()
build- column ()
def
step-up()
build- column()
build
column ():
turn-left()
build- beeper ()
build- beeper ()
build_ beeper ()
build-beeper ()
put - beeper ()
go - back()
turn - left ()
det build - beeper ():
put- beeper ()
move ()
go-back ():
turn around ()
step-up ()
def turn around ():
turn - left()
turn
left()
def step-up():
move ()
move ()
move ()
move ()
if - name
main ()
==
main
*",113,"from karel. stanfordkavel import * def main ():
build_column ()
step - up ()
build - column ()
step - up ()
build_column ()
step - up ()
build - column()
def build - column ():
turn - left ()
build - beeper ()
build - beeper ()
build - beeper ()
buitd - beeper ()
put - beeper ()
go - back ()
turn - left ()
det build-beeper ():
put - beeper ()
move ()
det go-back ():
turn - around ()
step - up ()
dex turn - around () :
turn - left ()
turn - left()
def step-up ():
move ()
move ()
move ()
move ()
if _ name _ \( == \) 'main _ :
main ()",112,"from karel.stanfordkarel import *
def main():
build_column()
step_up()
build_column()
step_up()
build_column()
step_up()
build_column()
def build_column():
turn_left()
build_beeper()
build_beeper()
build_beeper()
build_beeper()
put_beeper()
go_back()
turn_left()
def build_beeper():
put_beeper()
move()
def go_back():
turn_around()
step_up()
def turn_around():
turn_left()
turn_left()
def step_up():
move()
move()
move()
move()
if __name__ == '__main__':
main()",0,"from karel.stanfordkarel import *
def main():
build_column()
step_up()
build_column()
step_up()
build_column()
step_up()
build_column()
def build_column():
turn_left()
build_beeper()
build_beeper()
build_beeper()
build_beeper()
put_beeper()
go_back()
turn_left()
def build_beeper():
put_beeper()
move()
def go_back():
turn_around()
step_up()
def turn_around():
turn_left()
turn_left()
def step_up():
move()
move()
move()
move()
if __name__ == '__main__':
main()",0,"from karel.stanfordkarel import *
def main():
build_column()
step_up()
build_column()
step_up()
build_column()
step_up()
build_column()
def build_column():
turn_left()
build_beeper()
build_beeper()
build_beeper()
build_beeper()
put_beeper()
go_back()
turn_left()
def build_beeper():
put_beeper()
move()
def go_back():
turn_around()
step_up()
def turn_around():
turn_left()
turn_left()
def step_up():
move()
move()
move()
move()
if __name__ == '__main__':
main()",0
"def main():
input_string = input('input string: ')
ret = """"
for ch in input_string:
ret = ret + ch.upper()
print ret
if __name__ == '__main__':
main()","def main ():
if
input_ string = input ('input string; ')
11 11
ret =
for ch in input-string
ret
print ret
71
= ret + ch. uppert)
name__ =
main ()
main
20 07203",66,"def main ():
\[
egin{array}{l}
ext { input_string = input ('input string! ') } \
ext { ret }="" 11
\end{array}
\]
for ch in input.string
\[
ext { ret }= ext { ret }+ ext { ch. upperd) }
\]
print ret
if name \( \operatorname{main}( \) )",111,"def main():
input_string = input('input string! ')
ret = """"
for ch in input_string:
ret = ret + ch.upper()
print(ret)
if __name__ == ""__main__"":
main()",5,"def main():
input_string = input('input string! ')
ret = ''
for ch in input_string:
ret = ret + ch.upper()
print(ret)
if __name__ == '__main__':
main()",5,"def main():
input_string = input('input string! ')
ret = "" ""
for ch in input_string:
ret = ret + ch.upper()
print(ret)
if __name__ == ""__main__"":
main()",6
"from karel.stanfordkarel import *
def main():
move_to_beeper()
pick_beeper()
turn_around()
return_to_start()
def move_to_beeper():
while front_is_clear():
move
turn_right()
move()
turn_left()
move()
def turn_around():
turn_left()
turn_left()","o
o
o
from kare!. stamford karel impert
def main ():
mere to beeper ()
pick beeper ()
turn-around ()
return to_start()
def muere to beepet():
while front_is_clear ():
move
turn_right()
more()
turu-left()
more()
det turn around ():
turn left ()
turn left ()",42,"from karel. stanfordkarel import
def main ():
move to beeper ()
pick-beeper ()
turu_around ()
ceturn to_start()
def more to beeper ():
while frout_is_clear (1):
move
turn_right ()
more ()
turu-left()
morre()
def turu_around ():
turu left ()
turu left ()",35,"from karel.stanfordkarel import *
def main():
move_to_beeper()
pick_beeper()
turn_around()
return_to_start()
def move_to_beeper():
while front_is_clear():
move()
turn_right()
move()
turn_left()
move()
def turn_around():
turn_left()
turn_left()",2,"from karel.stanfordkarel import *
def main():
move_to_beeper()
pick_beeper()
turn_around()
return_to_start()
def move_to_beeper():
while front_is_clear():
move()
turn_right()
move()
turn_left()
move()
def turn_around():
turn_left()
turn_left()",2,"from stanfordkarel import karel
def main():
move_to_beeper()
pick_beeper ()
turn_around()
return_to_start()
def move_to_beeper():
while front_is_clear():
move()
turn_right()
move()
turn_left()
move()
def turn_around():
turn_left ()
turn_left ()
def return_to_start():
pass # assuming this is a placeholder for custom logic",94
"from karel.stanfordkarel import *
def main():
while front_is_clear():
fill_tower()
def fill_tower():
while front_is_clear():
put_beeper()
move()
put_beeper()
column_return()
def column_return():
while front_is_blocked():
turn_around()
while front_is_clear():
move()
next_tower()
def turn_around():
for i in range(2):
turn_left()
def next_tower():
if right_is_clear():
turn_right()
move()
turn_right()
else:
turn_around()
while front_is_clear():
move()
def turn_right():
for i in range(3):
turn_left()
if __name__ == '__main__':
main()","from kanel.stanfordkarel import
def main ():
while front_is_ clear():
bill tower ()
def fill_tower ():
-
while front_is_ clear ():
put-beeper ()
move()
put_beeper()
column_return ()
def column_return ():
if
def turn around ():
while front_is_blocked ():
turn-around()
while front_is_ clear():
move ()
next-tower()
-
def next tower ():
if right_is_dean ():
turn_right()
move()
turn_right()
for i in range (2):
turn_left()
--
else:
turn around ()
while front_is_dear():
def turn_right():
-
move()
-
name
main ()
for i in range (3):
turn_left()
_main_':",189,"from karel.stanfordkarel import *
def main ():
while front_is_dear () :
fill_tower ()
def fill_tower ():
while front_is_dear ():
put-beeper ()
move ()
put_beeper ()
column_return ()
def colurn-return () :
while front_is_blocked ( ):
turn-around ()
while front_is_clear () :
move ()
next_tower ()
def turn_around () :
for \( i \) in range (2):
turn-left ()
def next_tower ( ) :
if right_is_dear ( ):
turn_right ()
move ()
turn_right ()
else:
turn_around( )
while front_is_dear ():
move ()
def turn_right () :
for \( i \) in range (3):
turn_left ()
if _ name \( ==1 \) _ main _ '
main ()",76,"from karel.stanfordkarel import *
def main():
while front_is_clear():
fill_tower()
def fill_tower():
while front_is_clear():
put_beeper()
move()
put_beeper()
column_return()
def column_return():
while front_is_blocked():
turn_around()
while front_is_clear():
move()
next_tower()
def turn_around():
for i in range(2):
turn_left()
def next_tower():
if right_is_clear():
turn_right()
move()
turn_right()
else:
turn_around()
while front_is_clear():
move()
def turn_right():
for i in range(3):
turn_left()
if __name__ == '__main__':
main()",0,"from karel.stanfordkarel import *
def main():
while front_is_clear():
fill_tower()
def fill_tower():
while front_is_clear():
put_beeper()
move()
put_beeper()
column_return()
def column_return():
while front_is_blocked():
turn_around()
while front_is_clear():
move()
next_tower()
def turn_around():
for i in range(2):
turn_left()
def next_tower():
if right_is_clear():
turn_right()
move()
turn_right()
else:
turn_around()
while front_is_clear():
move()
def turn_right():
for i in range(3):
turn_left()
if __name__ == '__main__':
main()",0,"from karel.stanfordkarel import *
def main():
while front_is_clear():
fill_tower()
def fill_tower():
while front_is_clear():
put_beeper()
move()
put_beeper()
column_return()
def column_return():
while front_is_blocked():
turn_around()
while front_is_clear():
move()
next_tower()
def turn_around():
for i in range(2):
turn_left()
def next_tower():
if right_is_clear():
turn_right()
move()
turn_right()
else:
turn_around()
while front_is_clear():
move()
def turn_right():
for i in range(3):
turn_left()
if __name__ == '__main__':
main()",0
"def filter_string_a(string):
string.sort()
filtered_string_list = [ ]
for str in string:
if str.startswith(""a""):
filtered_string_list.append(str)
return filtered_string_list
input_string = [""apple"", ""banana"", ""avacado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)","der fitters string - a (string);
sont ()
string.
filtered_string_list = [3
toru
1
in
string:
stru. start with (""a"");
stru
filtreried_rodring-lirt: append
returen filtered_string-lit
(stru)
imput_string = [""apple"", ""bunana"", ""avacad""
""cheveny"", ""apriest""""]
output = filtern-string- a (imput_string)
print (output)",83,"def filteru-string-a (ntring):
string. sont ()
filtered-string_list \( =[] \)
for stre in atring:
if stru. ptark with (""an):
fiterced-atring-lint. append (stru)
return filtered-rtring-lirst
imput_rting \( z \) ""apple"", ""bunana"", ""avacado"" ""cherry"" ""apricot"" pring (output)",90,"def filter_string_a(string):
string.sort()
filtered_string_list = []
for stru in string:
if stru.startswith(""a""):
filtered_string_list.append(stru)
return filtered_string_list
input_string = [""apple"", ""banana"", ""avocado"", ""cherry"", ""apricot""]
print(output)",44,"def filter_string_a(string):
string.sort()
filtered_string_list = []
for stru in string:
if stru.startswith(""a""):
filtered_string_list.append(stru)
return filtered_string_list
input_string = [""apple"", ""banana"", ""avocado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)",5,"def filter_string_a(string):
string.sort()
filtered_string_list = []
for stru in string:
if stru.startswith(""a""):
filtered_string_list.append(stru)
return filtered_string_list
input_string = [""apple"", ""banana"", ""avacado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)",4
"def main():
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_left()
move()
pick_beeper()
turn_left()
turn_left()
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_around()
def turn_around():
for i in range(3)
turn_left ()","def main:
while front_is_clear();
move()
if front_is_blocked ().
turn-around ()
move ()
turn_left()
move ()
pick_beeper ()
turn - left().
turn_left()
while front is clear ():
move ()
if front_is_ blocked ():
turn around ().
move()
turn
around ()
def turn around ():
turn- lieft
left
for i in range (3)
()",55,"def main:
while front_is_clearc):
move ()
if front-is-blocked ():
tuin-around()
move ()
turn-left ()
move ()
pick-beeperc)
tuin-left()
tuin-left()
while front_is clear ():
move ()
if front-is-blocked ():
turn-around ()
move()
turn around ()
def turn-around ():
for in range (3)",47,"def main():
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_left()
move()
pick_beeper()
turn_left()
turn_left()
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_around()
def turn_around():
for i in range(2):
turn_left()",3,"def main():
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_left()
move()
pick_beeper()
turn_left()
turn_left()
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_around()
def turn_around():
for _ in range(3):
pass",14,"def main():
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_left()
move()
pick_beeper()
turn_left()
turn_left()
while front_is_clear():
move()
if front_is_blocked():
turn_around()
move()
turn_around()
def turn_around():
for _ in range(2):
turn_left()",4
"def is_leap_year(year):
if year % 4 == 0:
if year % 100 == 0:
if year % 400 == 0:
return true
else:
return false
else:
return false
else:
return false
def main():
year = int(input(""enter a year: ""))
is_leap = is_leap_year(year)
print(is_leap)
if __name__ == ""__main__"":
main()","-def is_leap-year (year);
if year % 4= = 0!
is yeare deg6 100 = = 0:
1 year 1.400.
if
return. trive
0:
ebbe:
return false
else:
else:
return false
return false
def main ():
yeare = int cinput (""enter a year: ""))
is_ leap - is_ leap year (year)
print (is-leap)
if name_
maino
==
11
main"":",75,"def is-leap-year (year):
if yeare \( \% 4==0 \) :
if year \( \% 100=0 \) :
if year \( \% 400==0 \) :
return. true
else:
return false
else:
retur false
else:
ruturn false
def \( \operatorname{main}() \) :
yearc = int (input (""enter a year: ""))
is teap = is leap-year (year)
print (is_leap)
if \( \operatorname{mame}_{-}=="" \) main "":
main()",92,"def is_leap_year(year):
if year % 4==0:
if year % 100==0:
if year % 400==0:
return true
else:
return false
else:
return true
else:
return false
def main():
year = int(input(""enter a year: ""))
is_leap = is_leap_year(year)
print(is_leap)
if __name__==""__main__"":
main()",12,"def is_leap_year(year):
if year % 4 == 0:
if year % 100 == 0:
if year % 400 == 0:
return true
else:
return false
else:
return true
else:
return false
def main():
year = int(input(""enter a year: ""))
is_leap = is_leap_year(year)
print(is_leap)
if __name__==""__main__"":
main()",6,"def is_leap_year(year):
if year % 4 == 0:
if year % 100 == 0:
if year % 400 == 0:
return true
else:
return false
else:
return true
else:
return false
def main():
year = int(input(""enter a year: ""))
is_leap = is_leap_year(year)
print(is_leap)
if __name__ == ""__main__"":
main()",4
"def main():
print("" problem - 5 "")
print(""-----------------"")
numb = int(input('write an number: '))
mak_list = [int(x) for x in str(numb)]
add_numb = 0
for i in mak_list:
add_numb += i
print(""sum of the number's digit: "", add_numb)
if __name__ == ""__main__"":
main()","def main ():
print (""problem - 5
---"")
print (""---
numb = int (input (write an integer number:
mak_list = [int (x) for x in sts (numb)]
add-numb = 0
fon is in mak_list:
-5 "")
add_numb + = i
print (""sum of the numbers:
digit
if_name__
main()
=
u
main__""
11
')
add_numb)",95,"def main ():
print (""problem - 5 "")
print (""............"")
numb = int (input ('write an integer number: ')
mak_list \( =[ \) int \( (x) \) for \( x \) in rtr (numb) \( ] \)
add-numb \( =0 \)
fon is in mak-list:
add_numb \( +=i \)
print (""sum of the numbers: "", \( a d d \)-numb)
if _ name _ \( == \) ""- main_.""
main()",106,"def main():
print(""problem - 5 "")
print(""............"")
numb = int(input('write an integer number: '))
mak_list = [int(x) for x in str(numb)]
add_numb = 0
for i in mak_list:
add_numb += i
print(""sum of the numbers: "", add_numb)
if __name__ == ""__main__"":
main()",33,"def main():
print (""problem - 5 "")
print (""............"")
numb = int(input('write an integer number: '))
mak_list = [int(x) for x in str(numb)]
add_numb = 0
for i in mak_list:
add_numb += i
print (""sum of the numbers: "", add_numb)
if __name__ == ""__main__"":
main()",36,"def main():
print (""problem - 5 "")
print (""............"")
numb = int (input ('write an integer number: '))
mak_list = [int (x) for x in str(numb)]
add_numb = 0
for i in mak_list:
add_numb += i
print (""sum of the numbers: "", add_numb)
if __name__ == ""__main__"":
main()",39
